timestamp,arousal
0,2
3,2
6,3
9,3
12,2
15,3
18,3
21,3
24,2
27,4
30,4
33,4
36,3
39,3
42,3
45,3
48,3
51,4
54,4
57,4
60,4
63,4
66,3
69,4
72,3
75,3
78,3
81,3
84,3
87,3
90,4
93,4
96,4
99,6
102,4
105,4
108,4
111,4
114,4
117,4
120,4
123,4
126,4
129,4
132,4
135,4
138,4
141,4
144,4
147,4
150,4
153,4
156,4
159,4
162,4
165,4
168,4
171,4
174,4
177,4
180,4
183,4
186,4
189,4
192,4
195,5
198,5
201,6
204,5
207,6
210,7
213,5
216,5
219,6
222,6
225,6
228,6
231,6
234,6
237,6
240,6
243,7
246,6
249,6
252,6
255,7
258,6
261,6
264,6
267,5
270,5
273,5
276,5
279,5
282,5
285,5
288,5
291,5
294,7
297,7
300,8
303,8
306,6
309,6
312,6
315,6
318,6
321,5
324,5
327,6
330,7
333,6
336,8
339,8
342,7
345,6
348,6
351,6
354,6
357,6
360,6
363,5
366,6
369,5
372,5
375,5
378,6
381,6
384,6
387,6
390,5
393,6
396,6
399,6
402,6
405,6
408,6
411,6
414,7
417,5
420,5
423,6
426,7
429,6
432,6
435,5
438,5
441,5
444,4
447,4
450,5
453,5
456,5
459,5
462,5
465,5
468,5
471,5
474,5
477,5
480,5
483,5
486,5
489,5
492,5
495,5
498,5
501,5
504,5
507,5
510,4
513,5
516,5
519,6
522,6
525,5
528,5
531,5
534,6
537,5
540,5
543,5
546,5
549,5
552,5
555,6
558,6
561,6
564,6
567,5
570,5
573,5
576,6
579,6
582,6
585,6
588,6
591,6
594,6
597,6
600,6
603,7
606,6
609,6
612,6
615,7
618,6
621,6
624,6
627,6
630,6
633,8
636,9
639,8
642,9
645,9
648,8
651,7
654,6
657,6
660,6
663,6
666,7
669,6
672,6
675,5
678,5
681,5
684,5
687,5
690,5
693,5
696,5
699,5
702,5
705,5
708,5
711,5
714,6
717,6
720,6
723,5
726,5
729,5
732,5
735,5
738,5
741,5
744,5
747,5
750,5
753,5
756,6
759,6
762,6
765,6
768,6
771,6
774,6
777,6
780,6
783,5
786,5
789,5
792,6
795,6
798,6
801,6
804,6
807,6
810,6
813,5
816,5
819,5
822,5
825,5
828,5
831,5
834,5
837,5
840,5
843,6
846,6
849,6
852,5
855,6
858,5
861,5
864,5
867,5
870,5
873,5
876,5
879,5
882,5
885,6
888,6
891,6
894,6
897,5
900,5
